1,647516
20,12
212,61600
213,661
216,50
218,91
220,9
221,776038
222,40
223,699
224,65
225,59
226,76
227,98
228,9060
229,63
230,5875
231,71
232,77
233,50
234,811
235,999999
236,72
237,69
238,99
240,222
241,62
242,06
243,99
244,920
245,955091
248,2704
249,92
250,78
251,911
253,77
254,733
255,774922
256,77
257,79
258,84
261,32
262,692
263,73
264,81
265,88
267,72
268,346
269,3
27,8113
297,59870
298,249
30,697
31,65400
32,495
33,654
34,6970
350,58
351,930
352021,
353,86
354,77
355,68
356,79700
357,99
358,4576
359,88
36,2090280
370,684989
371,2890
372,500
373,69
374,914400
375,33338
376,307
377,6
380,63
381,61
382,68
383,49
385,98
386,41
387,63
389,70
39,3518
40,770
41,794900
420,77001
421,903
423,79
43,660
44,782979
45,4069
46,70804
47,920
48,606
49,175
501,679
502,3444
503,776001
504,89
505,860925
506,8600
507,60
508,418
509,33
51,997
52,322169
53,54991
54,34714795
55,749919361
56,992098
57,31259802
58,424
590,6904309
591,70
592,66
593,962502
594,6949007
595,994
596,6969007
597,86990
598,96
599,78895
60,170
61,481
62,896419
63,917
64,21
65,9871
66,93797
670,75
673,810
675,72
676,89006
678,55565
679,7
682,59
685,76
687,77
689,87
7,707
81,90542
82,1001
84,900
852,975
853,66899
855,81211
856,209
86,1374
880,18
882,16
883,290
886,9374
90,505
91,7997
92,332
93,77
94,71
95,9593
960,91
961,3400
962,7905
963,95
964,7841
965,50091
966,5050
967,73
968,99
971,55
972,5441
973,36
974,77
975,17003
976,95
977,985181
98,911
992,92
993,65
994,50
995,599
996,772
998,90923
